Elapsed Time,User
0.921,7
1.856,7
1.279,7
1.716,7
4.118,7
10.561,7
0.125,7
0.873,7
3.713,7
12.698,7
2.091,7
0.811,7
0.936,7
1.014,7
0.765,7
0.952,7
0.905,7
0.921,7
0.921,7
0.827,7
0.998,7
0.936,7
0.874,7
0.78,7
0.889,7
1.092,7
1.919,7
0.952,7
1.092,7
0.936,7
1.326,7
1.294,7
13.4,7
6.771,7
9.204,7
1.248,7
1.092,7
0.92,7
9.5,7
3.775,7
4.868,7
3.339,7
1.716,7
0.811,7
1.326,7
0.811,7
0.967,7
7.784,7
1.264,7
1.232,7
7.41,7
18.595,7
0.609,7
0.796,7
7.207,7
1.077,7
0.437,7
0.562,7
2.2,7
0.484,7
1.373,7
0.327,7
1.155,7
1.357,7
1.029,7
1.669,7
4.103,7
14.228,7
3.4,7
1.077,7
0.702,7
0.952,7
2.59,7
1.139,7
6.178,7
0.764,7
1.061,7
7.223,7
5.709,7
0.312,7
1.201,7
2.09,7
5.476,7
7.129,7
7.659,7
2.965,7
0.593,7
1.108,7
0.608,7
0.656,7
1.935,7
0.593,7
1.419,7
0.39,7
0.749,7
1.373,7
0.546,7
1.467,7
0.749,7
1.95,7
0.546,7
0.358,7
0.484,7
2.668,7
0.624,7
0.593,7
0.39,7
1.108,7
8.518,7
1.716,7
0.686,7
4.446,7
1.029,7
1.076,7
1.201,7
0.702,7
4.508,7
2.309,7
2.73,7
0.39,7
0.593,7
1.497,7
0.64,7
3.401,7
3.011,7
1.95,7
1.841,7
0.873,7
0.203,7
0.765,7
0.499,7
0.141,7
1.248,7
2.418,7
1.67,7
5.865,7
3.245,7
0.967,7
1.482,7
4.477,7
2.231,7
6.162,7
0.39,7
2.512,7
2.512,7
0.999,7
2.247,7
0.92,7
0.53,7
0.78,7
1.747,7
2.293,7
0.561,7
3.261,7
1.326,7
1.42,7
0.78,7
2.277,7
2.028,7
10.312,7
4.321,7
3.104,7
1.482,7
0.655,7
2.918,7
0.733,7
2.137,7
0.203,7
0.983,7
0.437,7
1.014,7
1.014,7
0.39,7
12.636,7
1.638,7
3.697,7
1.56,7
0.53,7
2.496,7
1.482,7
0.499,7
1.077,7
1.341,7
1585.953,7
1.342,7
12.714,7
12.137,7
0.827,7
3.51,7
0.655,7
0.452,7
2.199,7
13.011,7
0.765,7
0.952,7
1.404,7
1.123,7
0.188,7
0.187,7
1.279,7
0.733,7
1.373,7
1.482,7
0.811,7
17.738,7
1.388,7
1.263,7
11.138,7
9.142,7
0.515,7
2.355,7
2.106,7
84.162,7
1.529,7
0.64,7
0.28,7
0.514,7
4.992,7
3.261,7
1.092,7
10.639,7
2.247,7
1.934,7
3.744,7
3.994,7
10.125,7
18.626,7
0.421,7
16.63,7
7.956,7
4.353,7
0.999,7
1.731,7
2.917,7
0.141,7
2.668,7
0.265,7
1.092,7
9.328,7
8.44,7
0.483,7
2.449,7
0.718,7
4.648,7
1.451,7
1.404,7
3.947,7
2.059,7
1.077,7
14.055,7
1.654,7
2.511,7
1.825,7
2.636,7
1.591,7
3.073,7
0.468,7
1.466,7
1.56,7
1.357,7
2.247,7
1.389,7
1.606,7
0.936,7
5.258,7
2.824,7
0.437,7
1.95,7
2.231,7
0.484,7
1.108,7
1.966,7
0.592,7
0.811,7
2.262,7
2.231,7
0.983,7
1.514,7
12.199,7
1.233,7
24.991,7
1.451,7
1.591,7
0.452,7
0.125,7
0.484,7
1.357,7
13.51,7
5.46,7
1.545,7
28.485,7
3.526,7
0.968,7
4.119,7
1.123,7
2.715,7
3.525,7
2.684,7
0.561,7
3.682,7
2.777,7
0.655,7
2.278,7
2.324,7
0.624,7
6.209,7
13.276,7
1.498,7
0.67,7
0.608,7
1.826,7
1.341,7
1.029,7
2.059,7
1.076,7
4.149,7
6.334,7
2.98,7
0.92,7
2.668,7
2.293,7
0.874,7
2.714,7
0.265,7
3.214,7
0.265,7
1.248,7
0.983,7
0.406,7
1.498,7
0.249,7
1.342,7
2.637,7
0.437,7
0.234,7
0.733,7
0.78,7
4.01,7
2.325,7
0.983,7
1.794,7
1.295,7
1.498,7
1.372,7
1.919,7
0.967,7
6.693,7
0.655,7
1.061,7
2.777,7
3.4,7
2.87,7
0.718,7
2.246,7
1.435,7
0.967,7
2.231,7
1.201,7
2.153,7
0.624,7
2.043,7
0.889,7
1.138,7
15.601,7
1.794,7
1.779,7
1.092,7
2.527,7
0.546,7
0.78,7
3.354,7
1.997,7
1.092,7
2.324,7
0.718,7
2.184,7
0.78,7
2.699,7
2.309,7
0.827,7
1.794,7
0.531,7
0.562,7
1.904,7
2.933,7
0.967,7
1.326,7
1.436,7
0.873,7
1.7,7
0.858,7
1.56,7
0.827,7
0.608,7
0.39,7
0.842,7
1.81,7
1.326,7
4.774,7
0.827,7
3.604,7
0.764,7
0.748,7
3.089,7
1.794,7
1.06,7
1.435,7
3.167,7
1.716,7
1.092,7
2.122,7
0.702,7
2.793,7
2.995,7
1.872,7
0.546,7
0.686,7
1.092,7
1.17,7
3.962,7
1.716,7
5.944,7
0.468,7
2.012,7
0.842,7
1.014,7
0.905,7
12.73,7
1.513,7
2.574,7
1.935,7
1.934,7
2.215,7
2.075,7
0.577,7
1.872,7
4.259,7
1.935,7
1.497,7
2.028,7
1.513,7
1.248,7
1.762,7
1.17,7
1.544,7
11.763,7
0.843,7
1.342,7
5.32,7
0.437,7
0.359,7
6.053,7
0.749,7
1.357,7
0.265,7
0.187,7
1.654,7
0.702,7
2.777,7
1.108,7
0.78,7
5.351,7
3.105,7
0.904,7
1.264,7
1.139,7
1.716,7
0.733,7
0.249,7
2.355,7
0.53,7
0.484,7
0.826,7
6.536,7
0.172,7
1.248,7
0.218,7
2.262,7
0.889,7
0.297,7
3.292,7
0.25,7
2.762,7
0.702,7
0.327,7
5.148,7
2.683,7
1.185,7
2.699,7
1.669,7
6.879,7
0.406,7
0.936,7
3.526,7
0.842,7
0.405,7
2.574,7
1.046,7
1.575,7
1.529,7
4.009,7
1.841,7
1.389,7
1.825,7
4.805,7
7.612,7
3.308,7
1.997,7
1.435,7
0.608,7
0.858,7
1.061,7
5.414,7
1.778,7
1.576,7
3.432,7
0.374,7
3.244,7
1.154,7
2.012,7
1.981,7
5.038,7
1.685,7
0.811,7
2.075,7
1.373,7
1.638,7
6.74,7
0.468,7
5.554,7
2.434,7
1.185,7
3.135,7
2.043,7
