Mouse Action,Traveled Distance,Elapsed Time,length_of_line,largest_deviation,User
2,469.4407924,0.921,430.8967394,59.6198524,7
2,580.0658318,1.856,483.6248546,114.4978375,7
2,620.1643527,1.279,453.9438291,63.80525109,7
2,648.3314107,1.716,362.2002209,151.4604267,7
2,1142.039675,4.118,463.7208212,219.843482,7
1,457.6450298,10.561,338.4981536,91.36238904,7
1,9.414213562,0.125,9.055385138,0.883452209,7
1,221.3508172,0.873,144.138822,12.14107328,7
2,159.7282491,3.713,63.0634601,42.76644503,7
2,1438.68049,12.698,133.1953453,327.0009167,7
2,733.6480147,2.091,322.9690388,78.36664498,7
2,351.3923022,0.811,345.0985367,20.80854955,7
2,356.1222861,0.936,352.8413241,8.672453567,7
2,439.0264563,1.014,372.3882383,26.73822365,7
2,381.7649157,0.765,375.8403917,12.46273712,7
2,390.9427471,0.952,370.5671329,19.559209,7
2,397.7040823,0.905,363.0385654,32.61636952,7
2,384.5791679,0.921,375.2026119,28.60054717,7
2,401.880036,0.921,378.1692743,20.79492052,7
2,397.0758971,0.827,393.6965837,13.55358472,7
2,398.4965534,0.998,392.8218426,14.67331848,7
2,423.5414156,0.936,408.7113896,19.20915394,7
2,415.5098223,0.874,411.2541793,9.704460649,7
2,453.8838855,0.78,424.577437,45.34626271,7
2,458.4401102,0.889,424.4490547,35.98547301,7
2,476.2409415,1.092,440.9648512,70.73579655,7
2,1380.072041,1.919,442.0904885,53.73108135,7
2,464.8097794,0.952,457.200175,28.3683181,7
2,674.8378201,1.092,454.4634199,33.09177228,7
2,161.0315259,0.936,133.0037593,36.55535771,7
2,673.5198681,1.326,595.6282398,76.14649033,7
2,357.1460195,1.294,213.9649504,105.2368622,7
2,985.9248363,13.4,408.447059,191.505847,7
2,923.7048734,6.771,9.486832981,299.1514667,7
2,1097.421444,9.204,5.830951895,223.1196593,7
2,449.8758285,1.248,370.4497267,48.61658331,7
4,439.4620181,1.092,334.5265311,106.9392012,7
2,318.211231,0.92,303.7252047,34.07356333,7
1,569.7135171,9.5,161.2203461,57.98275606,7
2,954.2570485,3.775,184.0434731,92.3260125,7
1,561.1493824,4.868,362.3106402,42.65124533,7
2,1059.02648,3.339,350.4868043,325.672746,7
2,641.1969033,1.716,434.2349594,121.2707518,7
2,531.1269044,0.811,450.6717209,25.67500791,7
2,493.0979889,1.326,452.7703612,48.62729959,7
2,96.89072453,0.811,77.00649323,9.09014254,7
2,842.5514862,0.967,283.1766233,109.4228741,7
2,1185.520796,7.784,325.6777548,203.6860025,7
2,295.1883986,1.264,10.63014581,96.80017736,7
2,51.3137085,1.232,22.36067977,4.024922359,7
2,505.2723095,7.41,22.20360331,136.8246387,7
2,2078.110616,18.595,89.27485648,335.3015752,7
2,436.1878116,0.609,336.1621632,128.8842253,7
2,295.4735796,0.796,227.2663635,70.48997375,7
2,211.3077839,7.207,98.00510191,12.49934928,7
2,94.42282456,1.077,6.708203932,21.01903899,7
